                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.295,                 0.7899,                 1.0932,                0.74882,                0.52246,                0.58222,                0.34225,                 1.2887,                0.73665,                 1.0955,               0.008878,               0.008878,               0.008878
                     36,                 1.2935,                0.78821,                 1.0927,                 0.7479,                0.52385,                0.58355,                0.34301,                 1.2884,                0.73562,                 1.0949,               0.008845,               0.008845,               0.008845
                     37,                  1.293,                0.78772,                 1.0909,                0.75233,                0.52332,                0.58514,                0.34379,                 1.2878,                0.73431,                 1.0942,               0.008812,               0.008812,               0.008812
                     38,                 1.2928,                0.78644,                 1.0912,                0.75287,                0.52369,                0.58596,                0.34474,                 1.2875,                0.73362,                 1.0936,               0.008779,               0.008779,               0.008779
                     39,                 1.2932,                0.78606,                 1.0895,                0.75113,                 0.5249,                0.58656,                0.34528,                  1.287,                0.73277,                 1.0928,               0.008746,               0.008746,               0.008746
                     40,                  1.292,                0.78561,                 1.0915,                0.75014,                0.52589,                0.58721,                0.34576,                 1.2867,                0.73206,                 1.0924,               0.008713,               0.008713,               0.008713
                     41,                 1.2911,                0.78441,                 1.0891,                0.75211,                0.52725,                0.58838,                0.34655,                 1.2865,                0.73114,                 1.0918,                0.00868,                0.00868,                0.00868
                     42,                 1.2875,                 0.7814,                 1.0871,                0.75047,                0.52907,                0.58981,                0.34744,                 1.2863,                0.73051,                 1.0911,               0.008647,               0.008647,               0.008647
                     43,                 1.2889,                0.78181,                 1.0891,                0.75153,                0.52857,                0.59048,                0.34784,                 1.2861,                0.72968,                 1.0907,               0.008614,               0.008614,               0.008614
                     44,                 1.2887,                0.78123,                 1.0872,                0.75233,                0.52975,                0.59139,                0.34894,                  1.286,                0.72898,                 1.0901,               0.008581,               0.008581,               0.008581
                     45,                 1.2871,                 0.7793,                 1.0862,                0.75101,                0.53146,                0.59215,                0.34947,                 1.2858,                0.72819,                 1.0894,               0.008548,               0.008548,               0.008548
                     46,                 1.2873,                0.77887,                 1.0852,                0.75366,                0.53047,                0.59213,                0.34988,                 1.2857,                0.72765,                 1.0887,               0.008515,               0.008515,               0.008515
                     47,                 1.2863,                0.77803,                 1.0852,                0.75377,                0.53051,                 0.5923,                0.35034,                 1.2858,                0.72701,                 1.0882,               0.008482,               0.008482,               0.008482
