                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.92025,                0.76358,                0.88784,                0.82184,                0.76232,                0.85779,                0.64216,                0.84049,                0.65656,                0.86984,               0.008845,               0.008845,               0.008845
                     37,                 0.9069,                0.75676,                  0.887,                0.83104,                0.76475,                0.86041,                0.64369,                0.83907,                0.64728,                0.87459,               0.008812,               0.008812,               0.008812
                     38,                0.90849,                0.74191,                0.88678,                0.83016,                0.77071,                0.86646,                0.65039,                0.84287,                0.63861,                0.87249,               0.008779,               0.008779,               0.008779
                     39,                0.90786,                0.74251,                0.88724,                0.83292,                0.77992,                0.86616,                0.65101,                0.83636,                0.62698,                0.87144,               0.008746,               0.008746,               0.008746
                     40,                0.90928,                 0.7334,                0.88459,                0.84964,                0.75644,                0.86369,                0.64947,                0.83533,                0.62731,                0.86994,               0.008713,               0.008713,               0.008713
                     41,                0.90345,                0.72534,                0.88451,                0.83358,                0.77305,                0.86802,                0.65222,                0.83804,                0.62426,                0.87202,                0.00868,                0.00868,                0.00868
                     42,                 0.9088,                0.72389,                0.88225,                0.82973,                0.79518,                0.87553,                0.65698,                 0.8341,                0.61002,                0.86986,               0.008647,               0.008647,               0.008647
                     43,                0.90765,                0.72705,                0.88229,                0.82459,                0.80829,                 0.8782,                0.66058,                0.82767,                0.60676,                0.86793,               0.008614,               0.008614,               0.008614
                     44,                0.90151,                0.71965,                0.88557,                0.85075,                0.78991,                0.87953,                0.65952,                0.83304,                0.60183,                 0.8696,               0.008581,               0.008581,               0.008581
                     45,                0.89263,                0.69911,                0.88161,                0.82981,                0.79391,                0.87589,                0.65861,                0.82886,                0.60838,                0.86982,               0.008548,               0.008548,               0.008548
                     46,                0.89262,                0.70376,                0.88546,                0.83916,                0.79335,                0.88273,                0.66571,                0.82835,                0.59414,                0.86893,               0.008515,               0.008515,               0.008515
                     47,                0.89654,                0.69569,                0.88093,                0.85127,                0.79956,                0.88694,                0.66716,                0.82925,                0.59024,                0.86921,               0.008482,               0.008482,               0.008482
                     48,                0.89014,                0.67181,                0.88508,                0.86018,                0.79938,                0.88629,                0.67045,                0.82936,                0.58727,                0.86859,               0.008449,               0.008449,               0.008449
                     49,                0.88983,                0.67681,                0.88192,                0.84591,                0.80433,                0.88537,                0.67126,                0.82476,                0.57508,                 0.8682,               0.008416,               0.008416,               0.008416
                     50,                0.88469,                0.68064,                 0.8794,                0.86921,                0.78881,                0.89306,                0.67467,                  0.822,                0.57392,                0.86672,               0.008383,               0.008383,               0.008383
                     51,                0.89463,                0.66442,                0.88257,                0.85912,                0.79788,                0.89115,                0.67275,                0.82562,                0.57206,                0.86672,                0.00835,                0.00835,                0.00835
                     52,                0.87745,                0.66421,                0.87961,                0.86493,                0.79826,                0.89162,                0.67402,                0.82646,                0.57376,                0.86698,               0.008317,               0.008317,               0.008317
                     53,                0.88378,                0.65628,                0.88255,                0.85305,                0.80745,                0.89151,                0.67236,                0.82576,                0.57045,                0.86648,               0.008284,               0.008284,               0.008284
                     54,                0.88127,                0.66384,                0.87661,                0.87588,                0.79413,                 0.8965,                0.67782,                0.82299,                0.56415,                0.86572,               0.008251,               0.008251,               0.008251
