                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3538,                0.99497,                 1.0629,                   0.47,                0.38357,                0.36969,                0.21498,                 1.4646,                 1.1047,                 1.0869,               0.008911,               0.008911,               0.008911
                     35,                 1.3466,                 0.9903,                 1.0641,                0.49219,                0.38594,                0.37605,                0.21845,                 1.4563,                 1.0917,                 1.0834,               0.008878,               0.008878,               0.008878
                     36,                 1.3454,                0.98395,                 1.0601,                0.49892,                0.38255,                0.37771,                0.21941,                 1.4627,                 1.0884,                 1.0835,               0.008845,               0.008845,               0.008845
                     37,                 1.3424,                0.97898,                 1.0574,                0.48518,                0.39272,                0.37956,                0.21927,                 1.4683,                 1.0937,                 1.0866,               0.008812,               0.008812,               0.008812
                     38,                 1.3386,                0.97319,                 1.0578,                0.49824,                0.39143,                0.38288,                0.22269,                  1.456,                 1.0792,                 1.0829,               0.008779,               0.008779,               0.008779
                     39,                 1.3304,                0.96405,                 1.0543,                0.49851,                0.39471,                0.38498,                0.22363,                 1.4618,                 1.0785,                 1.0833,               0.008746,               0.008746,               0.008746
                     40,                 1.3322,                0.96771,                 1.0537,                0.50951,                0.38985,                0.38521,                0.22463,                 1.4577,                 1.0806,                 1.0798,               0.008713,               0.008713,               0.008713
                     41,                 1.3257,                 0.9619,                 1.0525,                0.50778,                0.38707,                0.38361,                0.22342,                 1.4561,                  1.082,                   1.08,                0.00868,                0.00868,                0.00868
                     42,                 1.3299,                0.95877,                 1.0526,                0.49413,                0.39447,                0.38766,                0.22602,                 1.4547,                 1.0776,                 1.0798,               0.008647,               0.008647,               0.008647
                     43,                 1.3218,                0.95258,                 1.0508,                0.51476,                 0.3919,                0.38829,                0.22521,                 1.4616,                 1.0784,                 1.0793,               0.008614,               0.008614,               0.008614
                     44,                 1.3202,                0.94726,                 1.0485,                0.50645,                0.39416,                0.38786,                0.22574,                 1.4546,                 1.0774,                 1.0779,               0.008581,               0.008581,               0.008581
                     45,                 1.3168,                0.94222,                 1.0458,                0.49808,                 0.4002,                0.38768,                0.22584,                 1.4566,                 1.0714,                 1.0794,               0.008548,               0.008548,               0.008548
                     46,                  1.321,                0.94285,                 1.0457,                0.50896,                0.39674,                0.39168,                0.22878,                 1.4517,                 1.0601,                 1.0788,               0.008515,               0.008515,               0.008515
                     47,                 1.3165,                 0.9385,                 1.0449,                0.51897,                0.39641,                0.39433,                0.22928,                 1.4533,                  1.067,                 1.0779,               0.008482,               0.008482,               0.008482
                     48,                 1.3148,                0.93242,                 1.0473,                0.51531,                0.39606,                0.39463,                0.23067,                 1.4456,                 1.0656,                 1.0754,               0.008449,               0.008449,               0.008449
                     49,                 1.3029,                0.92583,                  1.041,                 0.5009,                0.39877,                0.39366,                 0.2299,                 1.4429,                 1.0561,                 1.0747,               0.008416,               0.008416,               0.008416
                     50,                 1.3018,                0.92026,                 1.0411,                0.50574,                0.39909,                0.39402,                0.22989,                 1.4454,                 1.0594,                 1.0744,               0.008383,               0.008383,               0.008383
                     51,                 1.3016,                0.92258,                 1.0395,                0.51356,                0.40461,                0.39892,                0.23265,                 1.4441,                 1.0551,                 1.0731,                0.00835,                0.00835,                0.00835
                     52,                 1.2979,                0.91477,                 1.0394,                0.51435,                0.39972,                0.39865,                0.23275,                 1.4497,                 1.0534,                 1.0752,               0.008317,               0.008317,               0.008317
                     53,                 1.3003,                0.91417,                 1.0391,                0.52148,                0.40113,                 0.4003,                0.23316,                 1.4479,                 1.0583,                 1.0739,               0.008284,               0.008284,               0.008284
                     54,                 1.3019,                0.91269,                 1.0395,                0.50981,                 0.4049,                0.39908,                0.23298,                 1.4415,                 1.0551,                 1.0729,               0.008251,               0.008251,               0.008251
